doc_id,true_label,baseline_pred,baseline_confidence,baseline_true_label_proba,baseline_prediction_margin,baseline_error_pair,baseline_error_flags,failure_mode_manual,review_notes,text_preview
doc_05431,comp.sys.ibm.pc.hardware,comp.os.ms-windows.misc,0.9498819899565331,0.017980822182035495,0.9319011677744976,comp.sys.ibm.pc.hardware → comp.os.ms-windows.misc,high_confidence_wrong;expected_overlap_pair;short_or_very_short_text,forum_boundary_ambiguity,,"Windows Virtual Memory I've got a 386DX-40, 4MB and I'm using Windows 3.1. Sometimes I wondered why Windows worked endlessly on my HD when I was doing nothing (execpt having lunch or something like that). Then I turned this virtual memory swapfile off, and Windows became quite faster, but now having less memory free. And so I'm still wondering, why windows is reading everything from virtual memory when the convertional is sufficient? Any common-sense-explanation is really appreciated."
doc_06305,comp.os.ms-windows.misc,comp.windows.x,0.9063843558183412,0.02320900905937893,0.8831753467589623,comp.os.ms-windows.misc → comp.windows.x,high_confidence_wrong;expected_overlap_pair;short_or_very_short_text,low_context_short_text,,"Window start up position for app, how? How do you set up an app to give its window a default start up position and size?"
doc_05347,comp.windows.x,comp.graphics,0.8694411451037107,0.05871308537021181,0.8107280597334989,comp.windows.x → comp.graphics,high_confidence_wrong;expected_overlap_pair;short_or_very_short_text,misleading_keywords,,"Polygon to raster converter required Can anybody tell me if they know where I can obtain the source code for a polygon filling algorithm, or any other graphics orientated mailing lists that may be able to help me. Thanks, Paul."
doc_01144,comp.graphics,comp.sys.mac.hardware,0.8566690405981551,0.03507263197290184,0.8015125063770683,comp.graphics → comp.sys.mac.hardware,high_confidence_wrong;short_or_very_short_text,misleading_keywords,,Re: Grayscale Printer Have you considered the Apple Laserwriter IIg. We use it for all our B&W image printing.
doc_05711,comp.graphics,comp.sys.ibm.pc.hardware,0.7572415716406274,0.08264444797882049,0.6639782108364218,comp.graphics → comp.sys.ibm.pc.hardware,high_confidence_wrong;expected_overlap_pair,misleading_keywords,,"Cobra 2.0 1-b-1 Video card HELP ME!!!! Does ANYONE out there in Net-land have any information on the Cobra 2.20 card? The sticker on the end of the card reads Model: Cobra 1-B-1 Bios: Cobra v2.20 I Havn't been able to find anything about it from anyone! If you have any information on how to get a hold of the company which produces the card or know where any drivers are for it, PLEASE let me know! As far as I can tell, it's a CGA card that is taking up 2 of my 16-bit ISA slots but when I enable the test patterns, it displays much more than the usualy 4 CGA colors... At least 16 from what I can count.. Thanks! .------------------------------------------. : Internet: <EMAIL> : : <EMAIL> : : <EM"
doc_04601,comp.windows.x,comp.graphics,0.7509569948217724,0.12468875106910912,0.6262682437526632,comp.windows.x → comp.graphics,high_confidence_wrong;expected_overlap_pair;short_or_very_short_text,misleading_keywords,,"Encapsulated Postscript and X How do I view .eps files on X? I have an image in color encapsulated postscript, and need to view it on my screen. Are there any utilities that will let me convert between encapsulated postscript and plain postscript? Joseph Sirosh"
doc_00537,comp.windows.x,comp.graphics,0.7273681957499398,0.09869743550115798,0.6286707602487819,comp.windows.x → comp.graphics,high_confidence_wrong;expected_overlap_pair,semantic_overlap,,"Graphics Text with X? Are there any graphics texts with examples/demos/projects directly in X? The last time I taught the course, I used a popular graphics text that uses its own graphics package, with implementations available for X/Mac/PC. The problem was that after the course the students were good at programming in the artificial package, but frustrated that they couldn't really use their skill for other work. --- Ken Mandelberg | <EMAIL> PREFERRED Emory University | {rutgers,gatech}!emory!km UUCP Dept of Math and CS | <EMAIL> NON-DOMAIN BITNET Atlanta, GA 30322 | Phone: Voice (404) 727-7963, FAX 727-5611"
doc_05953,comp.os.ms-windows.misc,comp.graphics,0.7267088756868367,0.08296910652684947,0.6320497181351363,comp.os.ms-windows.misc → comp.graphics,high_confidence_wrong;quote_dominated;high_structural_artifacts,quote_or_context_shift,,"Re: WinFax files in ASCII format? In < <EMAIL> > <EMAIL> (Z. Zhao) writes: >Currently, we are using WinFax software to receive/send fax on our >PCs. It works pretty well. The problem is that all received files are >in bit map format, which take lots of HD space. I have been told there >is some programs that can do pattern recognition of the raster > ^^^^^^^^^^^^^^^^^^^ >characters in fax-in files and translate them into ASCII code, then >store the file in ASCII format. >Would you like to tell me > (1) whether or not there is such software package to do such > translation? > (2) if there is one, where can I find it? > (3) is any such software package on public domain? What version of WinFAX d"
doc_05439,comp.os.ms-windows.misc,comp.windows.x,0.7142399512852512,0.21827179206100658,0.49596815922424464,comp.os.ms-windows.misc → comp.windows.x,high_confidence_wrong;expected_overlap_pair,semantic_overlap,,"terminal software Please reply via EMail... When I use the terminal software for Windows such as TERMINAL.EXE or Crossttalk, it doesn't use the whole window. I mean, when the software's window size is max, it still scrolls around the 2/3 of window. It does not use whole window. I set ""stty rows 30"", but still the same. Scrolls at 2/3 from the top of the windows. Could anyone tell me how to setup these software to use whole window? Thanks in advance."
doc_03587,comp.sys.ibm.pc.hardware,comp.graphics,0.7118830934062587,0.13616749666784903,0.5757155967384097,comp.sys.ibm.pc.hardware → comp.graphics,high_confidence_wrong;expected_overlap_pair;short_or_very_short_text,misleading_keywords,,"Help with 24bit mode for ATI I finally got the vesa driver for my ATI graphics ultra plus (2M). However, when I tried to use this to view under 24bit mode, I get lines on the picture. With 16bit or below, the picture is fine. Can someone tell me what was wrong? Is it the card, or is it the software?"
